City_name,Cloudiness,Country,Date,Humidity,Lng,Lat,Max_Temp,Wind_speed
Busselton,0,AU,1544197675,100,115.35,-33.64,15.82,6.18
Cape Town,75,ZA,1544194800,52,18.42,-33.93,20.0,6.7
Punta Arenas,40,CL,1544194800,50,-70.91,-53.16,15.0,12.3
Batagay-Alyta,0,RU,1544197676,0,130.41,67.8,-40.91,1.08
Atar,0,MR,1544194800,9,-13.05,20.52,32.0,4.1
Roald,75,NO,1544196000,86,6.12,62.58,5.0,7.7
Vaini,12,IN,1544197677,95,74.49,15.34,21.35,0.78
Hilo,90,US,1544196960,93,-155.08,19.71,20.0,3.6
Jamestown,12,AU,1544197678,34,138.6,-33.21,25.5,3.28
Hithadhoo,92,MV,1544197678,100,73.08,-0.6,26.6,3.53
Caucaia,40,BR,1544194800,62,-38.66,-3.73,30.0,5.7
Hobart,0,AU,1544196600,87,147.33,-42.88,16.0,1.5
Kieta,12,PG,1544197680,100,155.63,-6.22,25.95,0.98
Jingdezhen,100,CN,1544197680,86,117.2,29.29,1.77,4.83
Kaoma,56,ZM,1544197681,59,24.8,-14.8,28.97,3.08
Hermanus,44,ZA,1544197681,66,19.24,-34.42,17.85,2.78
Port Lincoln,88,AU,1544197683,100,135.86,-34.72,16.85,6.43
Saint-Philippe,90,CA,1544196900,71,-73.48,45.36,-7.7,2.6
Japura,64,ID,1544197684,88,102.29,-0.42,24.72,0.88
Tuktoyaktuk,5,CA,1544194800,76,-133.03,69.44,-23.0,2.6
Kaitangata,100,NZ,1544197684,68,169.85,-46.28,12.42,1.48
Torbay,75,CA,1544194800,86,-52.73,47.66,-2.0,8.2
Rocha,0,UY,1544197508,51,-54.34,-34.48,19.02,4.43
Port Elizabeth,1,US,1544194560,47,-74.98,39.31,3.9,6.7
Belmonte,0,PT,1544197686,84,-7.35,40.36,15.45,1.68
Avarua,40,CK,1544194800,83,-159.78,-21.21,25.0,3.6
Gawler,0,AU,1544194800,56,138.75,-34.6,23.0,3.1
Kodiak,1,US,1544195700,45,-94.76,39.95,-5.0,3.6
Carnarvon,24,ZA,1544197688,32,22.13,-30.97,22.07,5.58
Iquique,0,CL,1544194800,60,-70.14,-20.22,22.0,8.2
Bud,75,NO,1544196000,100,6.91,62.91,5.0,3.1
Mehamn,75,NO,1544196000,100,27.85,71.03,0.0,6.2
Amazar,24,RU,1544197689,47,120.88,53.86,-27.53,2.68
Upernavik,88,GL,1544197690,100,-56.15,72.79,-10.26,4.18
Klaksvik,92,FO,1544196000,81,-6.59,62.23,7.0,9.3
Saldanha,8,PT,1544197690,86,-6.55,41.42,10.82,1.98
Yatou,40,CM,1544194800,83,9.81,3.63,29.0,2.6
Mayor Pablo Lagerenza,76,PY,1544197691,82,-60.77,-19.93,22.5,8.83
Staryy Nadym,92,RU,1544197692,89,72.68,65.61,-6.06,4.83
Bluff,80,AU,1544197692,66,149.07,-23.58,22.7,6.03
Atuona,100,PF,1544197692,100,-139.03,-9.8,25.92,7.33
Ilulissat,75,GL,1544194200,67,-51.1,69.22,-7.0,4.6
Fortuna,0,ES,1544194800,56,-1.13,38.18,20.0,4.1
Comodoro Rivadavia,0,AR,1544194800,27,-67.48,-45.87,31.0,4.6
Dikson,56,RU,1544197694,100,80.55,73.51,-17.98,14.48
Qaanaaq,76,GL,1544197694,96,-69.36,77.48,-14.68,2.88
Dakoro,0,NE,1544197695,18,6.76,14.51,31.35,4.78
Richards Bay,48,ZA,1544197695,68,32.06,-28.77,29.37,1.73
Sorland,20,NO,1544194200,69,12.69,67.67,2.0,7.2
Rikitea,36,PF,1544197696,98,-134.97,-23.12,25.72,6.23
Mataura,76,NZ,1544197696,67,168.86,-46.19,11.67,1.68
Colon,1,US,1544196900,77,-96.61,41.3,-4.9,3.6
Santa Maria del Oro,64,MX,1544197697,69,-105.37,25.95,12.6,3.03
Petropavlovsk-Kamchatskiy,0,RU,1544194800,77,158.65,53.05,-17.0,4.0
Lukovetskiy,90,RU,1544196600,86,41.92,64.29,-2.0,2.0
Barnstaple,20,GB,1544196000,70,-4.06,51.08,9.0,7.7
Octeville,75,FR,1544196000,66,-1.64,49.63,9.0,12.9
Pirai do Sul,44,BR,1544197699,69,-49.95,-24.53,24.02,0.98
Tiksi,0,RU,1544197700,64,128.87,71.64,-37.03,1.38
Dingle,56,PH,1544197700,87,122.67,11.0,25.45,7.08
Mar del Plata,0,AR,1544197700,26,-67.52,-46.43,30.6,5.88
Chokurdakh,20,RU,1544197701,51,147.9,70.62,-34.53,1.38
Montevideo,1,US,1544196900,82,-95.72,44.94,-7.2,4.6
Nuuk,75,GL,1544194200,67,-51.74,64.17,-5.0,4.1
New Norfolk,0,AU,1544196600,87,147.06,-42.78,16.0,1.5
Yabrud,75,SY,1544194800,93,36.66,33.97,10.0,6.2
Sao Filipe,0,CV,1544197704,93,-24.5,14.9,24.45,5.48
Demyanovo,92,RU,1544197704,91,47.08,60.35,-3.83,1.08
Ponta do Sol,0,BR,1544197704,73,-46.0,-20.63,28.77,2.58
Maldonado,20,UY,1544194800,51,-54.96,-34.91,16.0,4.1
Kavieng,0,PG,1544197705,100,150.8,-2.57,29.5,3.03
Xinmin,0,CN,1544196600,53,122.83,42.0,-19.0,2.0
Lasa,20,CY,1544194800,58,32.53,34.92,17.0,3.23
The Valley,20,AI,1544194800,65,-63.06,18.22,29.0,6.7
Kapaa,75,US,1544194560,68,-159.32,22.08,23.3,8.2
Cidreira,32,BR,1544197707,72,-50.22,-30.17,21.07,5.83
Turochak,0,RU,1544197707,54,87.12,52.26,-28.56,1.03
Laguna,90,MX,1544195760,93,-110.01,27.52,18.0,2.1
Sri Aman,20,MY,1544194800,94,111.46,1.24,25.0,0.98
Kahului,75,US,1544194560,87,-156.47,20.89,22.2,4.6
Keetmanshoop,0,NA,1544194800,10,18.15,-26.57,31.0,7.2
Albany,40,US,1544195880,48,-73.75,42.65,-1.0,7.2
Souillac,75,FR,1544194800,87,-0.6,45.6,12.0,7.2
Ushuaia,40,AR,1544194800,43,-68.31,-54.81,14.0,15.4
Camacha,40,PT,1544194800,77,-16.33,33.08,22.0,6.7
Panaba,0,MX,1544197710,67,-88.27,21.28,26.75,2.98
Nishihara,75,JP,1544196600,50,139.53,35.74,12.0,7.2
Barrow,0,AR,1544197711,52,-60.23,-38.31,22.5,2.58
Atambua,0,ID,1544197712,100,124.89,-9.11,27.35,0.53
Okha,0,RU,1544197712,100,142.95,53.59,-26.81,3.88
Cedar City,90,US,1544194380,100,-113.06,37.68,-2.8,1.18
Hasaki,75,JP,1544196600,75,140.83,35.73,8.0,3.1
Coquimbo,0,CL,1544194800,60,-71.34,-29.95,20.0,5.1
Yellowknife,20,CA,1544194800,84,-114.38,62.45,-17.0,3.1
Gat,8,SN,1544196600,11,-16.54,14.69,36.0,4.1
Cockburn Town,68,TC,1544197714,100,-71.14,21.46,26.92,6.73
Puerto Ayora,75,EC,1544194800,61,-90.35,-0.74,26.0,7.2
Sola,90,FI,1544196000,92,29.36,62.78,-1.0,4.1
Broome,20,GB,1544196000,75,1.45,52.47,8.7,7.2
Lebu,20,ET,1544194800,42,38.73,8.96,20.0,5.1
Aklavik,90,CA,1544194800,92,-135.01,68.22,-13.0,2.6
Itupiranga,40,BR,1544194800,59,-49.33,-5.13,33.0,2.6
Tolga,0,DZ,1544194800,37,5.38,34.73,22.0,2.6
Bacong,0,PH,1544197717,100,124.31,6.14,28.32,1.68
Thompson,90,CA,1544194800,85,-97.86,55.74,-11.0,4.6
Preobrazheniye,0,RU,1544197718,55,133.91,42.9,-18.58,2.48
Khatanga,76,RU,1544197718,78,102.47,71.98,-19.83,4.23
Grindavik,75,IS,1544196600,86,-22.43,63.84,3.0,2.1
Betanzos,75,ES,1544194800,87,-8.21,43.28,13.0,2.6
Mahebourg,20,MU,1544194800,74,57.7,-20.41,27.0,1.0
Nokaneng,36,BW,1544197719,32,22.19,-19.66,33.77,3.03
Arraial do Cabo,75,BR,1544194800,61,-42.02,-22.97,26.0,4.1
Lensk,56,RU,1544197720,69,114.91,60.71,-26.56,4.03
Namibe,0,AO,1544194800,57,12.15,-15.19,25.0,5.7
Wilmington,1,US,1544195700,40,-75.55,39.75,3.9,5.7
Umm Lajj,0,SA,1544197721,96,37.27,25.02,21.0,3.63
Xiongyue,44,CN,1544197721,37,122.12,40.18,-15.83,3.08
Castro,0,CL,1544194800,49,-73.76,-42.48,23.0,3.1
Pasni,0,PK,1544197722,99,63.48,25.26,23.35,3.38
Tianpeng,92,CN,1544197723,100,112.34,28.88,2.7,7.08
Okhotsk,76,RU,1544197723,86,143.24,59.36,-4.53,7.48
Praya,90,ID,1544196600,94,116.27,-8.71,27.0,1.0
Yerbogachen,64,RU,1544197724,68,108.01,61.28,-26.48,2.58
Rawson,0,AR,1544197724,28,-65.11,-43.3,33.1,2.93
Livingston,90,US,1544195760,63,-88.19,32.58,8.9,1.63
Port Hardy,20,CA,1544194800,80,-127.42,50.7,1.0,4.6
Dullewala,8,PK,1544197726,83,71.44,31.84,14.6,2.03
Ahipara,0,NZ,1544197726,100,173.16,-35.17,12.2,3.58
Sochi,90,RU,1544196600,87,39.73,43.6,8.0,1.0
Pevek,64,RU,1544197727,100,170.27,69.7,-21.03,4.18
Gotsu,80,JP,1544197727,100,132.22,35.01,4.85,8.08
Gunjur,0,GM,1544194800,36,-16.76,13.18,34.0,2.6
Paamiut,0,GL,1544197728,100,-49.67,61.99,-1.48,8.73
Victoria,75,BN,1544194800,94,115.24,5.28,27.0,1.5
Naze,8,NG,1544194800,33,7.07,5.43,32.0,1.5
Medvedka,80,RU,1544197729,88,46.39,61.17,-3.91,2.23
Leningradskiy,36,RU,1544197729,100,178.42,69.38,-19.76,11.58
East London,75,ZA,1544196000,88,27.91,-33.02,21.0,3.1
Sarmakovo,90,RU,1544196600,93,43.19,43.74,4.0,7.0
Nikolskoye,75,RU,1544196600,86,30.79,59.7,-1.0,6.0
Soyo,80,AO,1544197731,86,12.37,-6.13,27.35,3.13
Hami,44,CN,1544197732,34,93.51,42.84,-15.73,1.38
Butaritari,32,KI,1544197732,100,172.79,3.07,28.07,2.38
Pasco,90,US,1544196900,84,-119.1,46.24,-1.3,1.28
Touros,75,BR,1544194800,62,-35.46,-5.2,31.0,7.2
Vila Franca do Campo,0,PT,1544194800,40,-25.43,37.72,21.0,2.1
Cabo San Lucas,75,MX,1544195760,83,-109.91,22.89,22.0,2.1
Ayan,0,TR,1544197733,86,33.6,40.67,-4.43,1.13
Channel-Port aux Basques,32,CA,1544197734,100,-59.14,47.57,-0.16,8.28
Georgetown,75,GY,1544194800,74,-58.16,6.8,30.0,6.2
Beian,0,NO,1544196000,100,9.57,63.66,0.0,5.1
Hervey Bay,75,AU,1544194800,88,152.85,-25.3,20.0,4.6
Komsomolskiy,80,RU,1544197736,89,63.78,67.55,-5.18,5.33
Port Macquarie,88,AU,1544194800,87,152.91,-31.43,16.0,3.43
Bathsheba,40,BB,1544194800,62,-59.52,13.22,29.0,7.7
Saint-Augustin,90,FR,1544194800,87,-0.61,44.83,12.0,6.7
Nelson Bay,8,AU,1544196600,68,152.14,-32.72,19.0,5.7
Rivera,0,UY,1544197738,55,-55.54,-30.9,19.5,3.83
Narsaq,0,GL,1544197738,65,-46.05,60.91,-10.31,2.23
Yumen,44,CN,1544197739,80,97.04,40.29,-22.33,4.93
Provideniya,68,RU,1544197739,100,-173.23,64.42,-5.28,13.63
Belaya Gora,56,RU,1544197739,57,146.19,68.54,-35.66,1.03
Faya,20,SA,1544194800,77,42.45,18.39,18.0,3.1
Chamba,0,IN,1544197740,72,76.12,32.56,2.12,0.93
Marsh Harbour,80,BS,1544197740,100,-77.06,26.54,23.62,6.48
Mascota,40,MX,1544193960,100,-104.79,20.53,22.0,2.6
Chuy,8,UY,1544197741,81,-53.46,-33.69,18.6,6.93
Ambon,20,FR,1544194800,76,-2.56,47.55,11.0,6.7
Santa Ana Arriba,40,DO,1544194800,74,-70.35,19.3,28.0,3.6
Beloha,8,MG,1544197742,31,45.06,-25.17,32.75,6.78
Jamame,0,SO,1544197743,67,42.75,0.07,29.17,4.23
Bambous Virieux,20,MU,1544194800,74,57.76,-20.34,27.0,1.0
Speightstown,40,BB,1544194800,62,-59.65,13.25,29.0,7.7
Petropavl,56,KZ,1544197744,86,69.13,54.87,-10.91,1.88
Rotenburg,90,DE,1544196000,93,9.4,53.12,11.0,7.2
Kenai,90,US,1544194560,96,-151.26,60.55,2.8,7.2
Huilong,100,CN,1544197745,92,110.18,28.89,-0.58,3.03
Iqaluit,20,CA,1544194800,76,-68.52,63.75,-22.0,2.6
Grants Pass,90,US,1544195700,92,-123.33,42.44,0.6,0.88
Maragogi,0,BR,1544197746,67,-35.22,-9.01,30.85,3.93
Campo Formoso,0,BR,1544197565,77,-40.32,-10.51,28.67,1.98
Karavukovo,0,RS,1544194800,86,19.2,45.5,5.0,3.1
Mount Gambier,40,AU,1544194800,82,140.78,-37.83,18.0,3.1
Port Alfred,12,ZA,1544197747,76,26.89,-33.59,23.5,2.23
Turayf,40,SA,1544194800,66,38.65,31.68,12.0,6.2
West Bay,20,GB,1544196000,70,-2.76,50.71,8.0,7.7
Novooleksiyivka,56,UA,1544197748,87,32.24,48.49,-5.43,2.48
Kedrovyy,0,RU,1544196600,70,91.82,56.17,-19.0,3.68
Zomin,92,UZ,1544197749,79,68.4,39.96,5.22,1.03
Skegness,20,GB,1544196000,65,0.34,53.14,8.0,8.2
Kununurra,0,AU,1544196600,83,128.74,-15.77,29.0,3.1
Kirakira,0,SB,1544197750,98,161.92,-10.46,29.47,4.48
Madison,90,US,1544196900,71,-89.38,43.07,-7.0,4.6
Cherskiy,32,RU,1544197751,60,161.3,68.75,-36.31,1.13
Kanye,36,BW,1544197751,41,25.34,-24.98,29.97,7.03
Muhos,92,FI,1544196000,92,26.0,64.81,-2.0,4.1
Los Llanos de Aridane,0,ES,1544196600,73,-17.92,28.66,23.0,5.7
Te Anau,88,NZ,1544197752,87,167.72,-45.41,5.77,1.43
Egvekinot,36,RU,1544197752,70,-179.17,66.32,-21.28,4.53
Porto Novo,90,BR,1544194800,77,-45.44,-23.68,21.0,3.1
Usakos,0,NA,1544197754,43,15.59,-22.0,23.35,4.13
Zambezi,44,ZM,1544197755,69,23.12,-13.55,27.45,2.78
Tessalit,0,ML,1544197755,19,1.01,20.2,28.7,4.28
Vao,80,EE,1544197756,91,26.19,59.1,-2.73,5.88
Taoudenni,0,ML,1544197756,21,-3.98,22.68,28.0,3.93
Carahue,0,CL,1544194800,45,-73.16,-38.71,28.0,1.0
Taixing,92,CN,1544197757,73,120.02,32.17,0.32,5.48
Olinda,40,EC,1544194800,58,-79.75,-2.03,28.0,2.1
Aswan,0,EG,1544197596,46,32.9,24.09,19.27,1.83
Robstown,90,US,1544196900,95,-97.67,27.79,22.8,4.1
Nakusp,8,CA,1544197759,90,-117.8,50.24,-16.48,0.78
Dwarka,0,IN,1544196600,72,77.04,28.58,15.0,1.63
Bogorodskoye,44,RU,1544197759,68,140.44,52.37,-26.38,1.68
Esperance,20,TT,1544194800,78,-61.45,10.24,27.0,5.1
Cuitzeo,75,MX,1544194140,82,-102.78,20.33,15.0,1.63
Lalibela,80,ET,1544197760,73,39.05,12.04,16.2,0.98
Manggar,36,ID,1544197761,100,108.27,-2.88,25.12,1.63
Hokitika,68,NZ,1544197761,100,170.96,-42.72,13.85,3.23
Henties Bay,0,NA,1544197761,88,14.28,-22.12,18.37,4.53
Kalmunai,76,LK,1544197762,95,81.82,7.42,25.0,2.83
Flinders,0,AU,1544194800,93,150.85,-34.58,14.0,3.28
Ribeira Grande,40,PT,1544194800,82,-28.7,38.52,19.0,1.0
Innisfail,20,CA,1544194800,76,-113.95,52.02,-23.0,2.1
San Luis,0,AR,1544197764,44,-66.34,-33.3,27.42,4.33
Shingu,64,JP,1544197764,100,135.99,33.72,11.1,7.83
Qaqortoq,12,GL,1544197765,90,-46.03,60.72,-2.03,1.53
Bilibino,32,RU,1544197765,69,166.44,68.06,-38.18,1.08
Ternate,20,PH,1544194800,83,120.72,14.29,27.0,2.1
Honiara,0,SB,1544197766,100,159.96,-9.43,21.95,1.03
Lohardaga,0,IN,1544196600,48,84.68,23.43,16.0,1.78
Port Blair,48,IN,1544197767,100,92.75,11.67,27.82,1.63
Padang,80,ID,1544197601,100,100.36,-0.92,26.97,1.13
Geraldton,40,CA,1544194800,76,-86.95,49.72,-21.0,2.6
Madang,92,PG,1544197769,100,145.81,-5.21,22.82,1.93
Khuzhir,8,RU,1544197770,100,107.35,53.19,-28.48,2.33
Meiganga,12,CM,1544197771,33,14.29,6.52,29.37,2.33
Arman,80,RU,1544197771,77,150.17,59.7,-11.98,4.33
Yeppoon,40,AU,1544196600,68,150.74,-23.13,22.0,4.1
Manyana,0,AU,1544194800,93,150.51,-35.26,14.0,7.33
Kaeo,0,NZ,1544197772,88,173.78,-35.1,9.95,2.78
Flin Flon,90,CA,1544194800,85,-101.88,54.77,-8.0,3.1
Tomatlan,32,MX,1544197773,80,-105.25,19.93,23.32,1.23
Teguise,20,ES,1544196600,78,-13.56,29.06,22.0,8.7
Barcarena,44,BR,1544197773,76,-48.62,-1.51,29.57,1.43
Oga,8,NG,1544197773,31,5.65,8.18,34.2,2.03
Ocos,0,GT,1544194800,66,-92.19,14.51,29.0,1.33
Bandarbeyla,32,SO,1544197774,100,50.81,9.49,26.57,4.98
Ontario,1,US,1544194680,63,-117.65,34.07,12.8,5.7
Airai,0,TL,1544197775,87,125.41,-8.93,21.45,0.18
Kruisfontein,44,ZA,1544197775,75,24.73,-34.0,21.2,5.03
Itarema,64,BR,1544197776,94,-39.92,-2.92,28.37,2.33
Moose Factory,1,CA,1544194800,75,-80.61,51.26,-27.0,4.1
Atasu,0,KZ,1544197776,68,71.64,48.68,-17.08,2.23
Anchorage,90,US,1544196480,100,-149.89,61.22,1.7,2.58
Mulanje,75,MW,1544194800,55,35.5,-16.03,30.0,1.5
Nizwa,32,OM,1544197777,47,57.53,22.93,20.72,1.43
Kajaani,75,FI,1544196000,86,27.73,64.22,-2.0,4.1
Harrison,1,US,1544196900,74,-84.82,39.26,-1.7,1.18
Codrington,40,AU,1544194800,82,153.24,-28.95,21.0,2.08
Altamont,0,CA,1544195700,100,-98.5,49.4,-10.0,4.1
Sioux Lookout,90,CA,1544197200,84,-91.92,50.1,-18.0,1.0
Luancheng,0,CN,1544194800,31,114.65,37.88,-8.0,2.0
Morant Bay,20,JM,1544194800,54,-76.41,17.88,29.0,2.1
Kuryk,36,KZ,1544197780,80,51.68,43.18,7.0,4.23
Oxapampa,76,PE,1544197780,94,-75.4,-10.58,14.72,0.98
Zavetnoye,92,RU,1544197781,98,43.89,47.12,0.32,3.18
Sfantu Gheorghe,90,RO,1544194800,95,26.83,44.65,0.0,3.6
Kyshtovka,56,RU,1544197782,80,76.62,56.56,-16.78,2.33
Sao Joao da Barra,90,BR,1544194800,73,-41.05,-21.64,25.0,5.1
Port Moresby,20,PG,1544194800,88,147.16,-9.47,25.0,2.1
Grand Gaube,20,MU,1544194800,74,57.66,-20.01,27.0,1.0
San Cristobal,40,EC,1544194800,55,-78.55,-0.39,19.0,1.0
Guerrero Negro,80,MX,1544197783,100,-114.04,27.97,14.85,1.53
